"filename", "language", "Svelte", "XML", "JavaScript", "TypeScript", "JSON", "CSS", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/simonatingleffkardel/Desktop/Pawgress/client/src/pages/TrainingLogs.svelte", "Svelte", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/simonatingleffkardel/Desktop/Pawgress/client/src/stores/goalStore.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"/Users/simonatingleffkardel/Desktop/Pawgress/client/src/stores/userStore.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 7, 13, 63
"/Users/simonatingleffkardel/Desktop/Pawgress/client/src/utils/calculator.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/simonatingleffkardel/Desktop/Pawgress/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/simonatingleffkardel/Desktop/Pawgress/client/svelte.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/simonatingleffkardel/Desktop/Pawgress/client/vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/simonatingleffkardel/Desktop/Pawgress/server/app.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 10, 43
"/Users/simonatingleffkardel/Desktop/Pawgress/server/database/connection.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 12
"/Users/simonatingleffkardel/Desktop/Pawgress/server/database/models/Auth.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/simonatingleffkardel/Desktop/Pawgress/server/database/models/Goal.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/simonatingleffkardel/Desktop/Pawgress/server/database/models/RefreshToken.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/simonatingleffkardel/Desktop/Pawgress/server/database/models/User.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/simonatingleffkardel/Desktop/Pawgress/server/middleware/refreshToken.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 2, 11, 51
"/Users/simonatingleffkardel/Desktop/Pawgress/server/package-lock.json", "JSON", 0, 0, 0, 0, 1782, 0, 0, 0, 0, 0, 1, 1783
"/Users/simonatingleffkardel/Desktop/Pawgress/server/package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/simonatingleffkardel/Desktop/Pawgress/server/routers/authRouter.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 16, 35, 161
"/Users/simonatingleffkardel/Desktop/Pawgress/server/routers/goalRouter.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 30, 93
"/Users/simonatingleffkardel/Desktop/Pawgress/server/routers/userRouter.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 13, 31
"/Users/simonatingleffkardel/Desktop/Pawgress/server/socket/socket.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 6, 26
"Total", "-", 1481, 34, 511, 0, 2772, 142, 27, 14, 16, 54, 551, 5602
